Coal,Gas,Hydro,Wind,Solar,Other,Year
57.83783784,6.486486486,4.864864865,12.43243243,0,18.37837838,2010
68.14159292,3.539823009,6.637168142,13.27433628,2.212389381,6.194690265,2011
82.05128205,4.273504274,3.418803419,4.700854701,1.709401709,3.846153846,2012
76.4957265,7.264957265,2.991452991,4.700854701,2.136752137,6.41025641,2013
63.54166667,9.027777778,4.166666667,13.88888889,6.944444444,2.430555556,2014
66.94214876,3.719008264,8.26446281,10.74380165,7.851239669,2.479338843,2015
59.38461538,1.846153846,1.538461538,11.07692308,13.23076923,12.92307692,2016
,,,,,,
Source: International Energy Agency (IEA),,,,,,
