country,country isocode,year,pi
India,IND,1950,0.084770344
India,IND,1951,0.083309285
India,IND,1952,0.077579826
India,IND,1953,0.078802325
India,IND,1954,0.071088314
India,IND,1955,0.073676057
India,IND,1956,0.078208089
India,IND,1957,0.078982927
India,IND,1958,0.09427841
India,IND,1959,0.092757873
India,IND,1960,0.068602242
India,IND,1961,0.074747138
India,IND,1962,0.078573577
India,IND,1963,0.082899153
India,IND,1964,0.08618211
India,IND,1965,0.091513492
India,IND,1966,0.080945566
India,IND,1967,0.074544646
India,IND,1968,0.076108553
India,IND,1969,0.080759056
India,IND,1970,0.084185317
India,IND,1971,0.087449715
India,IND,1972,0.091283321
India,IND,1973,0.10763374
India,IND,1974,0.125410736
India,IND,1975,0.139195234
India,IND,1976,0.130108684
India,IND,1977,0.143253058
India,IND,1978,0.175729245
India,IND,1979,0.22466746
India,IND,1980,0.250525445
India,IND,1981,0.300746083
India,IND,1982,0.319688767
India,IND,1983,0.336780041
India,IND,1984,0.359205127
India,IND,1985,0.393300027
India,IND,1986,0.402662903
India,IND,1987,0.422543555
India,IND,1988,0.428896397
India,IND,1989,0.407570451
India,IND,1990,0.412872791
India,IND,1991,0.357010335
India,IND,1992,0.328750134
India,IND,1993,0.294608414
India,IND,1994,0.315834641
India,IND,1995,0.342656672
India,IND,1996,0.336742789
India,IND,1997,0.334184885
India,IND,1998,0.30091849
India,IND,1999,0.29307279
India,IND,2000,0.277610302
India,IND,2001,0.261872828
India,IND,2002,0.247076243
India,IND,2003,0.26446256
India,IND,2004,0.287387222
India,IND,2005,0.281484514
India,IND,2006,0.285533726
India,IND,2007,0.313301831
India,IND,2008,0.345727921
India,IND,2009,0.317629993
India,IND,2010,0.338994473
India,IND,2011,0.356440365
India,IND,2012,0.338131845
India,IND,2013,0.338232577
India,IND,2014,0.344884008
India,IND,2015,0.336810172
India,IND,2016,0.336648226
India,IND,2017,0.358617723
India,IND,2018,0.359200537
India,IND,2019,0.356979281
